year,category,item_name,size,price_min,price_max
2025,ART SUPPLIES,Adult Coloring Book (50 pg),,6.5,6.5
2025,ART SUPPLIES,Colored Pencils,12 pk,4.5,4.5
2025,ART SUPPLIES,Drawing Pad 9 X 12,,3.4,3.4
2025,ART SUPPLIES,Illustration Boards,2 pk,5.0,5.0
2025,ART SUPPLIES,Mini Colored Pencils,24 pk,2.4,2.4
2025,ART SUPPLIES,Protractor Ruler,,0.75,0.75
2025,ART SUPPLIES,Watercolor Pad 9 X 12,,6.75,6.75
2025,ART SUPPLIES,Watercolor Paints (16 colors),,3.85,3.85
2025,BEVERAGES,Big Red,12 oz,0.6,0.6
2025,BEVERAGES,Cranberry Juice,11.5 oz,1.4,1.4
2025,BEVERAGES,Diet Peach Tea,16.9 oz,1.25,1.25
2025,BEVERAGES,Dr Pepper Zero,12 oz,0.6,0.6
2025,BEVERAGES,Water,16.9 oz,0.15,0.15
2025,BEVERAGES,Dr Pepper,12 oz,0.6,0.6
2025,BEVERAGES,Coca Cola,12 oz,0.6,0.6
2025,BEVERAGES,Sprite,12 oz,0.6,0.6
2025,BEVERAGES,Fanta Orange,12 oz,0.6,0.6
2025,BEVERAGES,Fanta Pineapple,12 oz,0.6,0.6
2025,BEVERAGES,Hydrocore Electrolyte Beverage,,0.9,0.9
2025,BEVERAGES,Coke Zero,12 oz,0.6,0.6
2025,BEVERAGES,Diet Coca Cola,12 oz,0.6,0.6
2025,BEVERAGES,Diet Dr. Pepper,12 oz,0.6,0.6
2025,BEVERAGES,Mountain Dew,12 oz,0.6,0.6
2025,BEVERAGES,Orange Juice,11.5 oz,1.4,1.4
2025,BEVERAGES,Root Beer,12 oz,0.6,0.6
2025,BEVERAGES,V-8 Juice,11.5 oz,0.95,0.95
2025,BEVERAGES,V8-Splash,,1.4,1.4
2025,CANDY,Chick-o-Stick- .7 oz,,0.25,0.25
2025,CANDY,Cinnamon Jawbreaker,10 oz,1.55,1.55
2025,CANDY,Peppermint Stick,1 oz,0.15,0.15
2025,CANDY,Fruit Filled Hard Candy,22 oz,2.5,2.5
2025,CANDY,Hostess Asst. Fruit Slices,,1.6,1.6
2025,CANDY,Hostess Hard Candy Mix,,1.6,1.6
2025,CANDY,Kit Kat Bar,,1.5,1.5
2025,CANDY,Lemon Jawbreaker,4 oz,0.7,0.7
2025,CANDY,M&M Peanut,1.74 oz,1.5,1.5
2025,CANDY,M&M Plain,1.69 oz,1.5,1.5
2025,CANDY,Rainbow Fruit Stick,1 oz,0.15,0.15
2025,CANDY,S/F Pecan Delights,,3.15,3.15
2025,CANDY,Snickers Candy Bar,1.86 oz,1.5,1.5
