year,category,item_name,size,price_min,price_max
2019,ART SUPPLIES,Adult Coloring Book (50 pg),,4.5,4.5
2019,ART SUPPLIES,Colored Pencils,12 pk,1.6,1.6
2019,ART SUPPLIES,Drawing Pad,9x12,1.25,1.25
2019,ART SUPPLIES,Illustration Boards,2 pk,4.3,4.3
2019,ART SUPPLIES,Mini Colored Pencils,24 pk,2.5,2.5
2019,ART SUPPLIES,Protractor Ruler,,0.45,0.45
2019,ART SUPPLIES,Watercolor Pad,9x12,5.25,5.25
2019,ART SUPPLIES,Watercolor Paints,16 colors,1.35,1.35
2019,CANDY,Cinnamon Jawbreaker,10 oz,1.5,1.5
2019,CANDY,EK M&M Peanut,1.74 oz,0.85,0.85
2019,CANDY,EK M&M Plain,1.69 oz,0.85,0.85
2019,CANDY,EK Peppermint Stick,1 oz,0.1,0.1
2019,CANDY,Fruit Filled Hard Candy,22 oz,2.4,2.4
2019,CANDY,GK Chick-o-Stick- .7 oz,,0.15,0.15
2019,CANDY,Kit Kat Candy Bar,1.5 oz,0.85,0.85
2019,CANDY,Lemon Head Redrific,4 oz,0.75,0.75
2019,CANDY,Rainbow Fruit Stick,1 oz,0.1,0.1
2019,CANDY,Snickers Candy Bar,1.86 oz,0.85,0.85
2019,CANDY,Sugar Free Coconut Chocolates,,1.85,1.85
2019,CANDY,Sugar Free Jolly Rancher Candy,,2.4,2.4
2019,CANDY,Sugar Free Peanut Butter Cups,,1.9,1.9
2019,CANDY,Sugar Free Pecan Delights,,1.85,1.85
2019,CANDY,Tootsie Pops,8 pk,0.9,0.9
2019,CANDY,Twix Candy Bar,1.79 oz,0.85,0.85
2019,CLOTHING,Boxer Shorts,,3.3,3.3
2019,CLOTHING,Gym Shorts,,4.5,6.5
2019,CLOTHING,Socks,,1.5,1.5
2019,CLOTHING,T-Shirts,,6.5,7.5
2019,CLOTHING,Thermal Pants,,5.25,6.5
2019,CLOTHING,Thermal Shirts,,6.0,6.0
2019,CONDIMENTS,BBQ Sauce,18 oz,1.1,1.1
2019,CONDIMENTS,Creamy Peanut Butter,18 oz,2.25,2.25
2019,CONDIMENTS,EG Mustard,14 oz,0.9,0.9
2019,CONDIMENTS,EH Cream Cheese Packets,2 oz,0.5,0.5
2019,CONDIMENTS,EK Ketchup,20 oz,2.15,2.15
2019,CONDIMENTS,EKH Sweetener,100 pks,0.85,0.85
2019,CONDIMENTS,Garlic Powder Spice,1.75 oz,0.85,0.85
2019,CONDIMENTS,Grape Preserves,12 oz,1.3,1.3
2019,CONDIMENTS,Habanero Sauce,8 oz,0.6,0.6
2019,CONDIMENTS,NoSugarAdded Grape Jelly,,3.35,3.35
2019,CONDIMENTS,Non-Dairy Creamer,12 oz,1.45,1.45
2019,CONDIMENTS,Onion Powder Spice,1.75 oz,0.85,0.85
2019,CONDIMENTS,Ranch Dressing Pack,1.5 oz,0.2,0.2
2019,CONDIMENTS,Salsa-Medium,15 oz,3.0,3.0
