Series Id,Series Title,Area,Item,Last Average Price
APU0300701111,"Flour, white, all purpose, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Flour, white, all purpose, per lb. (453.6 gm)",0.518
APU0300701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",1.175
APU0300701321,"Spaghetti (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,Spaghetti (cost per pound/453.6 grams),No Data
APU0300701322,"Spaghetti and macaroni, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Spaghetti and macaroni, per lb. (453.6 gm)",1.051
APU0300702111,"Bread, white, pan, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Bread, white, pan, per lb. (453.6 gm)",1.784
APU0300702112,"Bread, French, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Bread, French, per lb. (453.6 gm)",No Data
APU0300702211,"Bread, rye, pan (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Bread, rye, pan (cost per pound/453.6 grams)",No Data
APU0300702212,"Bread, whole wheat, pan, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Bread, whole wheat, pan, per lb. (453.6 gm)",No Data
APU0300702213,"Bread, wheat blend, pan (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Bread, wheat blend, pan (cost per pound/453.6 grams)",No Data
APU0300702221,"Rolls, hamburger (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Rolls, hamburger (cost per pound/453.6 grams)",No Data
APU0300702411,"Cupcakes, chocolate (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Cupcakes, chocolate (cost per pound/453.6 grams)",No Data
APU0300702421,"Cookies, chocolate chip, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Cookies, chocolate chip, per lb. (453.6 gm)",4.79
APU0300702611,"Crackers, soda, salted, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Crackers, soda, salted, per lb. (453.6 gm)",No Data
APU0300703111,"Ground chuck, 100% beef, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Ground chuck, 100% beef, per lb. (453.6 gm)",6.298
APU0300703112,"Ground beef, 100% beef, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Ground beef, 100% beef, per lb. (453.6 gm)",5.949
APU0300703113,"Ground beef, lean and extra lean, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Ground beef, lean and extra lean, per lb. (453.6 gm)",7.958
APU0300703211,"Chuck roast, USDA Choice, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chuck roast, USDA Choice, bone-in, per lb. (453.6 gm)",No Data
APU0300703212,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",No Data
APU0300703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",8.739
APU0300703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",8.537
APU0300703312,"Round roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Round roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",No Data
APU0300703411,"Rib roast, USDA Choice, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Rib roast, USDA Choice, bone-in, per lb. (453.6 gm)",No Data
APU0300703421,"Steak, chuck, U.S. choice, bone-in (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Steak, chuck, U.S. choice, bone-in (cost per pound/453.6 grams)",No Data
APU0300703422,"Steak, T-Bone, USDA Choice, bone-in, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Steak, T-Bone, USDA Choice, bone-in, per lb. (453.6 gm)",No Data
APU0300703423,"Steak, porterhouse, U.S. choice, bone-in (cost per pound/453.6 grams) in South urban, average price, not seasonally adjusted",South,"Steak, porterhouse, U.S. choice, bone-in (cost per pound/453.6 grams)",No Data
APU0300703425,"Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm) in South urban, average price, not seasonally adjusted",South,"Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm)",No Data
