item_category,item_name,item_price,price_per_unit,price_per_unit_type,item_size
Maxi pads,H-E-B Maxi Pads - Super,3.98,0.08,ct,48 ct
Maxi pads,H-E-B Maxi with Flexi-Wings Overnight Pads,5.13,0.14,ct,36 ct
Maxi pads,"Always Maxi Overnight Pads with Wings, Extra Heavy Overnight, Unscented Size 5",5.56,0.28,ct,20 ct
Maxi pads,H-E-B Maxi with Flexi-Wings Overnight Pads - Extra Heavy,3.98,0.2,ct,20 ct
Maxi pads,H-E-B Maxi with Flexi-Wings Overnight Pads - Extra Heavy,6.0,0.17,ct,36 ct
Maxi pads,H-E-B Maxi with Flexi-Wings Overnight Pads,3.0,0.11,ct,28 ct
Maxi pads,"Always Maxi Daytime Pads with Wings, Super, Unscented Size 2",7.97,0.19,ct,42 ct
Maxi pads,H-E-B Maxi with Flexi-Wings Long Pads - Super,3.0,0.09,ct,32 ct
Maxi pads,Stayfree Maxi Pads - Super,6.38,0.13,ct,48 ct
Maxi pads,Stayfree Maxi Pads Wingless - Regular,4.43,0.18,ct,24 ct
Maxi pads,U by Kotex Clean & Secure Maxi Pads - Heavy Absorbency,4.18,0.19,ct,22 ct
Maxi pads,Always Maxi Pads Overnight Absorbency Unscented with Wings Size 4,7.97,0.24,ct,33 ct
Maxi pads,Always Maxi Pads Overnight Absorbency Unscented with Wings Size 5,7.97,0.3,ct,27 ct
Maxi pads,"Always Maxi Overnight Pads with Wings - Extra Heavy Size 5, Unscented",10.47,0.29,ct,36 ct
Maxi pads,Carefree Maxi Overnight Pads With Wings,6.68,0.24,ct,28 ct
Maxi pads,"Stayfree Maxi Super Pads For Women, Wingless",4.43,0.18,ct,24 ct
Maxi pads,U by Kotex Clean & Secure Maxi Overnight Pad with Wings - Extra Heavy,8.99,0.37,ct,24 ct
Maxi pads,Frida Mom Instant Ice Maxi Pads for Postpartum Recovery,17.99,2.25,ct,8 ct
Maxi pads,Always Maxi Pads Overnight Absorbency Unscented Size 4,5.56,0.21,ct,26 ct
Maxi pads,"Always Maxi Overnight Pads with Wings for Women, Size 5, Extra Heavy Overnight Absorbency, Unscented, 14 Count",4.67,0.33,ct,14 ct
Maxi pads,U by Kotex Clean & Secure Overnight Maxi Pads,7.68,0.19,ct,40 ct
Maxi pads,U by Kotex Clean & Secure Overnight Maxi Pads,4.18,0.3,ct,14 ct
Maxi pads,Carefree Maxi Super Long Pads with Wings,6.68,0.24,ct,28 ct
Maxi pads,"Always Maxi Daytime Pads with Wings, Extra Long Super, Unscented  Size 3",7.97,0.24,ct,33 ct
Instant coffee,Nescafe Gold Blonde Espresso Instant Coffee,9.24,2.64,oz,3.5 oz
Instant coffee,H-E-B Classic Roast Instant Coffee,5.15,0.64,oz,8 oz
Instant coffee,Nescafe Tasters Choice House Blend Light-Medium Roast Instant Coffee Packets,1.48,0.25,ct,6 ct
Instant coffee,Folgers Classic Roast Instant Coffee,12.84,1.07,oz,12 oz
Instant coffee,Nescafe Gold Espresso Intense Instant Coffee,9.24,2.64,oz,3.5 oz
Instant coffee,Folgers Classic Roast Instant Coffee,8.97,1.12,oz,8 oz
Instant coffee,Folgers Classic Roast Single Serve Instant Coffee Packets,1.46,0.21,ct,7 ct
Instant coffee,H-E-B Cafe Puro Instant Coffee,2.28,1.3,oz,1.76 oz
Instant coffee,Cafe Bustelo Espresso Instant Coffee Packets,1.69,0.28,ct,6 ct
Instant coffee,Folgers Classic Roast Instant Coffee,5.12,1.71,oz,3 oz
Instant coffee,Nescafe Clasico Pure Instant Coffee,3.98,2.34,oz,1.7 oz
Instant coffee,Nescafe Clasico Pure Instant Coffee,6.77,1.93,oz,3.5 oz
Instant coffee,Nescafe Taster's Choice House Blend Instant Coffee,12.57,1.8,oz,7 oz
Instant coffee,Nescafe Clasico Pure Dark Roast Instant Coffee,9.24,1.32,oz,7 oz
Instant coffee,Tejas Cafe H-E-BTexas Café Hazelnut Instant Coffee,5.99,0.75,oz,8 oz
Instant coffee,Central Market Organics Instant Coffee,6.28,1.78,oz,3.5 oz
Instant coffee,Via Romo Espresso Instant  Coffee,2.78,1.39,oz,2 oz
Instant coffee,Nescafe Tasters Choice French Roast Instant Coffee,12.57,1.8,oz,7 oz
Instant coffee,H-E-B Classic Decaf Instant Coffee,7.68,0.96,oz,8 oz
Instant coffee,Tejas Cafe H-E-B Chocolate Instant Coffee,5.99,0.75,oz,8 oz
Instant coffee,Tejas Cafe H-E-B Café De Olla Instant Coffee,5.99,0.75,oz,8 oz
Instant coffee,Colcafe Colombian Instant Coffee,4.58,1.53,oz,3 oz
Instant coffee,Caffe D'Vita Premium Mocha Cappuccino Instant Coffee,5.82,0.36,oz,16 oz
Instant coffee,Folgers Coffee Singles Classic Roast Instant Coffee Bags,6.98,0.37,ct,19 ct
Instant coffee,Nescafe Clasico Pure Instant Coffee,13.28,1.26,oz,10.5 oz
Instant coffee,Maxwell House International Cafe French Vanilla Beverage Mix,4.46,0.53,oz,8.4 oz
Instant coffee,Nescafe Tasters Choice Decaf House Blend Light-Medium Roast Instant Coffee Packets,1.48,0.3,ct,5 ct
Instant coffee,Hills Bros. French Vanilla Cappuccino Drink Mix,4.22,0.26,oz,16 oz
Instant coffee,Folgers Classic Decaf Instant Coffee,9.97,1.25,oz,8 oz
Instant coffee,Nescafe Clasico Pure Decaf Dark Roast Instant Coffee,10.74,1.53,oz,7 oz
Instant coffee,Postum Original Roasted Wheat-Bran and Molasses Instant Coffee Alternative,10.68,1.34,oz,8 oz
Instant coffee,Starbucks VIA Ready Brew Colombia Medium Roast Instant Coffee Packets,8.47,1.06,ct,8 ct
Instant coffee,H-E-B Cafe Puro Dark Roast Instant Coffee,5.98,0.85,oz,7 oz
Instant coffee,Colcafe Granulated Instant Coffee,7.98,1.33,oz,6 oz
Instant coffee,Nescafe Ice Roast Instant Coffee Sticks,4.57,0.57,ct,8 ct
Instant coffee,Sally Hansen Insta-Dri Nail Polish - Instant Coffee,5.98,,,
Instant coffee,Postum Natural Coffee Flavor Instant Coffee Alternative,10.68,1.34,oz,8 oz
Instant coffee,Nescafe Gold Decaf Expresso Instant Coffee Mix,9.24,2.64,oz,3.5 oz
Instant coffee,Community Coffee Breakfast Blend Medium Roast Instant Coffee,10.99,1.57,oz,7 oz
Instant coffee,Community Coffee Signature Blend Dark Roast Instant Coffee,10.99,1.57,oz,7 oz
Instant coffee,Community Coffee Coffee & Chicory Medium-Dark Roast Instant Coffee,10.99,1.57,oz,7 oz
Instant coffee,Community Coffee Decaf Cafe Special Medium-Dark Roast Instant Coffee,10.99,1.57,oz,7 oz
Instant coffee,Starbucks Via Ready Brew Pikes Place Roast Medium Roast Instant Coffee,8.47,1.06,ct,8 ct
Instant coffee,Nescafe Tasters Choice Decaf Instant Coffee,12.57,1.8,oz,7 oz
Instant coffee,Central Market Organics Decaffeinated Instant Coffee,6.98,1.99,oz,3.5 oz
Instant coffee,Folgers Coffee Singles Classic Decaf Instant Coffee Bags,7.98,0.42,ct,19 ct
Instant coffee,H-E-B Cafe Puro Instant Decaf Coffee,6.78,0.97,oz,7 oz
Instant coffee,Chike 20g Whey Protein Iced Coffee - Mocha,29.63,1.94,oz,15.3 oz
Instant coffee,Chike 20g Whey Protein Iced Coffee - Original,29.63,1.85,oz,15.3 oz
Instant coffee,Maxwell House International Cafe Francais Beverage Mix,4.46,0.59,oz,7.6 oz
Instant coffee,Hills Bros. Sugar Free French Vanilla Cappuccino Drink Mix,4.22,0.35,oz,12 oz
Instant coffee,Maxwell House International Cafe Cafe Vienna Beverage Mix,4.46,0.5,oz,9 oz
Instant coffee,Folgers Classic Decaf Single Serve Coffee Packets,1.46,0.24,ct,6 ct
Instant coffee,Maxwell House International Cafe  Suisse Mocha Beverage Mix,4.46,0.62,oz,7.2 oz
Instant coffee,Hills Bros. English Toffee Cappuccino Drink Mix,4.22,0.26,oz,16 oz
Instant coffee,Maxwell House International Cafe Sugar Free Suisse Mocha Decaffeinated Beverage Mix,4.46,1.01,oz,4 oz
Instant coffee,Maxwell House International Cafe Sugar Free French Vanilla Beverage Mix,4.46,1.04,oz,4.3 OZ
Instant coffee,DeLallo Instant Espresso Powder,4.77,2.46,oz,1.94 oz
Instant coffee,Caffe D'Vita Premium Instant Sugar Free Mocha Cappuccino,5.82,0.68,oz,8.5 oz
Instant coffee,Maxwell House International Cafe Hazelnut Beverage Mix,4.46,0.5,oz,9 oz
Colored Pencils,H-E-B Presharpened Colored Pencils,2.38,,,24 pk
Colored Pencils,H-E-B Presharpened Colored Pencils,0.97,,,12 pk
Colored Pencils,Crayola Twistables Colored Pencils,2.97,0.25,ct,12 pk
Colored Pencils,Crayola Erasable Colored Pencils,5.88,0.24,ct,24 pk
Colored Pencils,H-E-B Bright Colored Pencils,1.47,,,8 pk
Colored Pencils,H-E-B Metallic Colored Pencils,1.47,,,8 pk
Colored Pencils,H-E-B Presharpened Colored Pencils,3.47,,,36 pk
Colored Pencils,Zebra Zensations Colored Pencils - Assorted Ink,10.79,0.9,pack,12 pk
Colored Pencils,Cra-Z-Art Neon Colored Pencils,4.48,0.37,ct,12 pk
Colored Pencils,Prismacolor Premier Soft Core Colored Pencils,12.99,1.08,ct,12 pk
Colored Pencils,Crayola Signature Blend & Shade Colored Pencils,19.99,,,24 pk
Colored Pencils,Faber-Castell Black Edition Color Pencils - Neon & Pastel,9.99,0.83,ct,12 pk
Colored Pencils,Crayola Pre-Sharpened Colored Pencils,3.27,0.14,ct,24 pk
Colored Pencils,Crayola Pre-Sharpened Colored Pencils,2.17,0.18,ct,12 pk
Colored Pencils,Crayola Silly Scents Colored Pencils,4.97,,,12 pk
Colored Pencils,Art 101 Colored Pencil On The Go Art Kit,2.97,,,11 pc
Colored Pencils,H-E-B Presharpened Colored Pencils,4.98,,,50 pk
Colored Pencils,Evolve Latex Free Pencil Grips - Multi Color,1.27,,,10 pc
Colored Pencils,Maped Universal Retractable Eraser - Assorted Colors,1.47,,,
Colored Pencils,Pilot V-Board Master BeGreen Dry-Erase Markers - Assorted Colors,6.97,1.39,ct,5 pk
Orange Juice,Simply Pulp Free 100% Orange Juice,0.09,0.09,oz,76 oz
Orange Juice,Simply Orange Pulp Free 100% Pure Squeezed Orange Juice,0.16,0.16,oz,8 oz
Orange Juice,H-E-B 100% Orange Juice - No Pulp,0.09,0.09,oz,52 oz
Orange Juice,Simply Orange Pulp Free 100% Pure Squeezed Orange Juice,0.1,0.1,oz,46 oz
Orange Juice,H-E-B 100% Orange Juice - No Pulp,0.08,0.08,oz,89 oz
Orange Juice,Hill Country Fare Orange Juice - Original,0.05,0.05,oz,1 gal
Orange Juice,H-E-B 100% Orange Juice - Some Pulp,0.09,0.09,oz,52 oz
Orange Juice,Sunny D Tangy Original Orange Flavored Citrus Punch,0.03,0.03,oz,1 gal
Orange Juice,Minute Maid 100% Orange Juice 6 pk Bottles,0.09,0.09,oz,10 oz
Orange Juice,H-E-B 100% Orange Juice - Some Pulp,0.08,0.08,oz,89 oz
Orange Juice,H-E-B Fresh Orange Juice,0.19,0.19,oz,52 fl oz
Orange Juice,Minute Maid Pulp Free Orange Juice,0.08,0.08,oz,59 oz
Orange Juice,H-E-B No Pulp Light Orange Juice,0.09,0.09,oz,52 oz
Orange Juice,Tropicana No Pulp Pure Premium Orange 100% Juice,0.09,0.09,oz,46 oz
Orange Juice,H-E-B Organics Fresh Orange Juice,0.19,0.19,oz,52 fl oz
Orange Juice,Simply Orange Pulp Free Orange Juice with Calcium & Vitamin D,0.1,0.1,oz,46 oz
Orange Juice,Minute Maid Original Low Pulp 100% Pure Squeezed Orange Juice,0.08,0.08,oz,59 oz
