item_id,item_name,size,category,cpi_category,essential_status,num_years,mean_yoy_pct,median_yoy_pct,std_yoy_pct,max_yoy_pct,min_yoy_pct,num_positive_years,num_significant_increases,consistency_score,years_in_top_percentile,volatility_cv,trend_type,cumulative_inflation_pct
Acne Benzoyl 10%|1.5 oz,Acne Benzoyl 10%,1.5 oz,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,10.744689385188037,0.0,23.955970484143947,63.26530612244897,-7.547169811320745,2,1,0.3333333333333333,2,2.2295637989468697,volatile,64.15094339622641
Ad Seg Colgate|1 oz,Ad Seg Colgate,1 oz,HYGIENE,Personal care,essential,6,6.468253968253969,3.333333333333336,8.84529061347252,24.999999999999996,0.0,3,1,0.5,1,1.3674927819601683,volatile,42.85714285714287
Ad Seg Shampoo|4 oz,Ad Seg Shampoo,4 oz,HYGIENE,Personal care,essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
"Adaptor-1/8""-1/4"" headphone|","Adaptor-1/8""-1/4"" headphone",,ELECTRICAL,Recreation,non-essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
Adaptor-75/300 ohm|,Adaptor-75/300 ohm,,ELECTRICAL,Recreation,non-essential,6,2.492877492877492,0.0,4.102094188029038,11.111111111111104,0.0,2,1,0.3333333333333333,1,1.6455257828550773,volatile,15.38461538461538
Adult Coloring Book (50 pg)|,Adult Coloring Book (50 pg),,ART SUPPLIES,Recreation,non-essential,6,7.066276803118908,0.0,13.469789101310461,36.84210526315789,0.0,2,1,0.3333333333333333,1,1.9062073955785566,volatile,44.44444444444444
Afta After Shave|3 oz,Afta After Shave,3 oz,HYGIENE,Personal care,essential,6,69.15293063303015,12.037037037037035,130.0457059985245,358.33333333333337,-1.818181818181812,3,3,0.5,3,1.8805523469226564,spiker,650.0
Alarm Clock|,Alarm Clock,,ELECTRICAL,Recreation,non-essential,6,8.321150097465887,5.555555555555555,9.63308822132849,26.31578947368421,0.0,3,3,0.5,3,1.157663076437251,volatile,57.89473684210527
Alcalak Antacid|24 tabs,Alcalak Antacid,24 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,10.73531366294524,4.649122807017548,13.12608373390264,36.36363636363635,0.0,4,2,0.6666666666666666,2,1.222701464160246,volatile,77.27272727272727
Always Pantiliners|20 ct,Always Pantiliners,20 ct,FEMALE ONLY,Personal care,essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
Antibacterial Lotion|4 oz,Antibacterial Lotion,4 oz,HYGIENE,Personal care,essential,6,12.259853436324027,2.941176470588238,16.796432663995738,45.45454545454545,0.0,3,2,0.5,2,1.3700353557433678,volatile,88.23529411764707
Antibacterial Soap|1.25 oz,Antibacterial Soap,1.25 oz,HYGIENE,Personal care,essential,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,999.0,steady,0.0
Antifungal Foot Powder|3.5 oz,Antifungal Foot Powder,3.5 oz,HYGIENE,Personal care,essential,6,22.02380952380953,0.0,49.24673521874537,132.14285714285717,0.0,1,1,0.16666666666666666,1,2.2360679774997894,volatile,132.14285714285717
Artificial Tears Eye Drops-.5 oz|,Artificial Tears Eye Drops-.5 oz,,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,9.914021164021163,0.0,21.316708028357958,55.55555555555555,-8.571428571428566,2,2,0.3333333333333333,2,2.1501576076635915,volatile,59.99999999999999
Aspirin Free-APAP|24 tabs,Aspirin Free-APAP,24 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,5.959595959595959,4.54545454545454,10.519730419025503,25.000000000000007,-8.333333333333323,3,1,0.5,3,1.7651751042093642,volatile,37.5
Aspirin|24 tabs,Aspirin,24 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,11.472431077694237,2.631578947368424,16.72985013203699,39.99999999999999,-5.000000000000004,3,2,0.5,2,1.458265473005518,volatile,80.0
Big Red|12 oz,Big Red,12 oz,SODAS,Food at home,non-essential,6,1.5151515151515131,0.0,3.387981784090586,9.09090909090908,0.0,1,0,0.16666666666666666,1,2.23606797749979,volatile,9.09090909090908
Blue Bell Pints- Asst Flavors|,Blue Bell Pints- Asst Flavors,,ICE CREAM,Food at home,non-essential,6,10.148333565104528,2.222222222222224,16.003165300518926,44.68085106382978,0.0,3,2,0.5,2,1.5769254329150635,volatile,68.88888888888887
Boxer Shorts|,Boxer Shorts,,CLOTHING,Apparel,essential,6,20.34556439728853,13.257575757575758,31.935599850765126,78.46153846153845,-18.181818181818183,4,3,0.6666666666666666,4,1.569659077878479,volatile,148.4848484848485
Briefs/Panties|3 pk,Briefs/Panties,3 pk,FEMALE ONLY,Personal care,essential,6,11.153926482873851,3.571428571428571,23.13592296203502,60.0,-12.5,3,2,0.5,2,2.0742402236162096,volatile,68.42105263157895
Calamine Lotion|6 oz,Calamine Lotion,6 oz,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,11.823837185349978,0.0,21.37220530888323,55.172413793103445,-6.451612903225811,2,2,0.3333333333333333,2,1.8075524023084413,volatile,77.41935483870968
Cereal-Assorted Flavors|20 oz,Cereal-Assorted Flavors,20 oz,INSTANT FOODS,Food at home,essential,6,4.827025526038681,2.3809523809523796,13.258624542453912,28.37837837837837,-14.736842105263165,3,2,0.5,2,2.7467483797075873,volatile,26.56249999999999
Cheese Ravioli|12 oz,Cheese Ravioli,12 oz,KOSHER ITEMS,Food at home,essential,6,8.10663021189337,2.631578947368421,9.830756423618777,23.37662337662337,0.0,3,2,0.5,2,1.2126809989674765,volatile,55.84415584415584
Chess Set|,Chess Set,,GAMES,Recreation,non-essential,6,8.10340022296544,6.25,8.802803841188554,23.07692307692308,0.0,3,3,0.5,3,1.0863098944861405,volatile,56.52173913043478
Chlorphen Tabs|24 tabs,Chlorphen Tabs,24 tabs,"OTC MEDICATIONS, VITAMINS, ETC",Medicinal drugs,essential,6,3.594771241830065,0.0,13.976081555779798,33.33333333333333,-11.764705882352938,1,1,0.16666666666666666,1,3.8878917782441986,volatile,17.647058823529417
Cinnamon Jawbreaker|10 oz,Cinnamon Jawbreaker,10 oz,CANDY,Food at home,non-essential,6,0.555555555555556,0.0,1.2422599874998843,3.333333333333336,0.0,1,0,0.16666666666666666,0,2.23606797749979,volatile,3.333333333333336
ClearTech Lift Off|,ClearTech Lift Off,,ELECTRICAL,Recreation,non-essential,6,42.55952380952382,0.0,89.69203182313555,242.8571428571429,0.0,2,2,0.3333333333333333,2,2.107449139340807,spiker,285.7142857142857
